Author,Title ,Cited in,ID in Kitab database,Other
al-'Ayyashi A.-N.M.B.M.,Tafsiral-Ayyashi',Bursi,0320IbnMascudCayyashi.Tafsir,
al-'Uqayli A.J.M.B.A.,Kitab al-Du'afa'al-kabir,Bursi,0322AbuJacfarCuqayli.DucafaKabir,
Hatim I.A.,Kitab al-Jarh wa-l-ta'dil,Bursi,0327IbnAbiHatimRazi.JarhWaTacdil,
Al-Andalusi I.A.R.,Al-Tqd al-farid,Bursi,0328IbnCabdRabbih.CiqdFarid,
Ibrahim al-Qummi A.B.,Tafsir al-Qummi,Bursi,0329IbnIbrahimQummi.Tafsir,
al-Kulayni M.B.Y.B.I.-R.,Al-Kafi,Bursi,0329IbnYacqubKulayni.Kafi,
al-Dinawari A.B.A.B.M.,Al-Mujalasa wa-jawahir al-ilm,Bursi,0333IbnMarwanDinawari.MujalasaWaJawahirCilm,
Al-Hamdānī A.-Ḥ.B.A.,Al-Iklīl (al-Juzʾ al-Thāmin),Bursi,0334IbnHaikHamdani.Iklil,
al-Hamdani A.M.A.-H.B.A.,Kitab al-Iklil min akhbar al- Yaman wa-ansab Himyar: Al-juz' al-awwal,Bursi,0334IbnHaikHamdani.Iklil,
al-Harithi A.A.B.M.B.Y.B.A.-H.,Musnad Abi Hanifa,Bursi,0340AbuMuhammadHarithi.MusnadAbiHanifa,
al-Mas'udi A.B.A.-H.,Muruj al-dhahab wa-ma'adin al-jawhar,"Bursi, Goldziher, Margoliouth",0346Mascudi.MurujDhahab,
Al-Kindi,Kitäb al-wulätwa-kitäb al-qudät,Bursi,0350MuhammadKindi.WulatMisr,
Ibn Hibban M.-T.-B.,Kitab al-Majruhin min al-muhaddithin,Bursi,0354IbnHibbanBusti.Majruhin,
Ibn Hibban M.-T.-B.,Kitab al-Thiqat,Bursi,0354IbnHibbanBusti.Thiqat,
al-Ajurri A.B.M.B.-H.,Kitab al-Sharia,Bursi,0360AbuBakrAjurri.Sharica,
al-Tabarani S.B.A.,Al-Mu'jam al-kabir,Bursi,0360Tabarani.MucjamKabir,
al-Tabarani S.B.A.,Musnad al-Shamiyyin,Bursi,0360Tabarani.MusnadShamiyyin,
Abu al-Faraj al-Isfahani A.B.A.-H.,Kitab al-Aghani',"Bursi, Goldziher",0362AbuFarajIsbahani.Aghani,
Qadi al-Nu’man,al-Majalis wal-Musayarat,Meri,0363QadiNucman.Majalis,
Ibn 'Adi A.A.-J.,Al-Kamilfi du'afa' al-rijal,Bursi,0365IbnCadiJurjani.KamilFiDucafa,
Ibn al-Faqih al-Hamadhani ,Kitab al-Buldan,Goldziher,0365IbnFaqihHamadhani.Buldan,
Ibn Ḥawqal A.L.-Q.,Kitāb ṣūrat al-ard,Bursi,0367IbnHawqal.SuratArd,
Al-Qummi I.Q.,Kāmil Al-Ziyārāt,Bursi,0368IbnQulawayh.KamilZiyarat,
Al-Rashid ibn al-Zubayr,Kitab al-Hadaya wal-Tuhaf,Meri,0380Khalidiyyan.TuhafWaHadaya,
Babawayh I.,Amali Al-Saduq,Bursi,0381IbnBabawayhSaduq.Amali,
Al-Qummi I.B.,Kitab Man la yahduru al-faqih,Bursi,0381IbnBabawayhSaduq.ManLaYahduruhuFaqih,
al-Daraqutni A.B.U.,AlSlal,Bursi,0385Daraqutni.Cilal,
al-Daraqutni A.B.U.,Sunan al-Daraqutni',Bursi,0385Daraqutni.Sunan,
Al-Qayrawani I.A.Z.,Kitab al-Jami fi al-sunan wa-l-adab wa-l-maghazi wa-l-tarikh,Bursi,0386IbnAbiZaydQayrawani.JamicFiSunan,
Al-Qayrawäm I.A.Z.,Al-Nawadir wa-l-ziyadat 'ala mafial-Mudawwana min ghayr-ha min al-ummahat,Bursi,0386IbnAbiZaydQayrawani.NawadirWaZiyadat,
